Index;Ecole;RNE;Num;Libelle;Codsti;Codpos;Tel;X_CC43;Y_CC43;X_WGS84;Y_WGS84
61;MACE Jean;0312154Y;0001;IMP DE DUROUX;8369508;31500;05 61 20 26 58;1577100.3966;2266958.0532;1.47794450093151;43.5927095462113
62;MAOURINE (La);0312673M;0013;AV M BOURGES MAUNOURY;8439231;31100;05 61 99 94 10;1574855.4994;2271142.8261;1.44919212108931;43.6299999528237
63;MARENGO PERIOLE;0310934X;0098;RUE DE PERIOLE;5315223;31500;05 61 48 70 39;1575676.0121;2269744.8155;1.45967535031459;43.6175548136821
64;MICHELET;0312077P;0005;BD JULES MICHELET;4624002;31000;05 61 62 01 19;1575344.1813;2268156.5281;1.45592666568107;43.6032065635141
65;MICHOUN;0312276F;0049;CHE MICHOUN;4627236;31500;05 61 48 83 15;1576383.4713;2270751.3112;1.46821119078086;43.6267289341582
66;MOLIERE;0312078R;0036;RUE SAINTE LUCIE;6304027;31300;05 61 42 99 65;1573300.6475;2267108.157;1.43086240425767;43.5934311863782
67;MONGE;0311569M;0012;RUE SOULT;6678454;31500;05 61 48 91 43;1575502.1594;2268779.3188;1.45774144681496;43.6088373496256
68;MONTAUDRAN;0311923X;0001;IMP GASTON GENIN;8356908;31400;05 61 20 94 02;1577600.8777;2264868.5238;1.48460812826037;43.5739864666057
69;MUSSET Alfred de;0312151V;0005;RUE DU GENERAL HOCHE;3161624;31200;05 61 47 64 90;1573304.7649;2270415.9279;1.4301479587276;43.6231992387608
70;NORD;0310952S;0013;BD D ARCOLE;0233624;31000;05 61 21 46 71;1574200.9098;2269024.8137;1.4415690526852;43.6108304891074
71;OUSTALOUS (Les);0311024V;0065;RTE D ESPAGNE;2624010;31100;05 61 44 92 81;1572729.213;2265044.3043;1.42426636691146;43.5747617063285
72;PAGNOL Marcel;0311016L;0007;RUE ERNEST DUFER;8343553;31300;05 61 49 34 04;1570917.3932;2267561.3356;1.40124670005237;43.5971050189046
73;PAPUS;0312542V;0046;ALL DE GUYENNE;3392004;31100;05 61 40 27 84;1571841.1174;2265166.4221;1.4132449489915;43.5757102314271
75;PATTE D'OIE;0312197V;0044;RUE DU TCHAD;6793649;31300;05 61 42 00 14;1572785.5742;2267345.0377;1.42442983744583;43.5954761712128
74;PASTEL (Le);0311641R;0002;CHE D ESCALLES;2604809;31400;05 62 88 08 79;1575033.277;2261730.2866;1.45354158481405;43.5453229198665
76;RANGUEIL;0312177Y;0016;RUE CLAUDE DE FORBIN;2896046;31400;05 61 52 35 07;1575950.2581;2264998.1407;1.4641474220487;43.5748831508053
77;RENAN Ernest;0312178Z;0007;CHE D AUDIBERT;0364857;31200;05 61 47 82 11;1574251.0697;2271892.9279;1.44153123893707;43.6366495750592
78;RICARDIE 2;0310964E;0020;AV DE L URSS;7036843;31400;05 61 52 29 08;1574721.6699;2265883.0499;1.44873749963894;43.5826436016862
79;RONSARD;0310988F;0007B;RUE VESTREPAIN;7209600;31100;05 61 40 33 23;1571399.3173;2266131.8978;1.40754969768154;43.5843235691938
80;SAUZELONG;0311006A;0092;AV ALBERT BEDOUCE;0704025;31400;05 61 52 92 80;1575775.8076;2265680.92;1.46183328170229;43.5809990162727
81;SEPT DENIERS;0312080T;0110;RTE DE BLAGNAC;0912031;31200;05 61 57 02 85;1571567.8213;2269722.2552;1.40879377564833;43.6166626532826
82;SERMET;0310950P;0071;RUE DU TAUR;6790415;31000;05 61 23 00 35;1574236.8989;2268618.8529;1.44210804385138;43.6071831577624
83;SOUPETARD;0312174V;0037;RUE DE LA SOLIDARITE;6649612;31500;05 61 80 88 78;1577089.3366;2268584.8091;1.47744246625503;43.6073474726993
84;TERRASSE (La);0311745D;0004;IMP EUGENE TRUTAT;8345410;31500;05 61 20 20 58;1577687.6287;2265968.4821;1.48543644560853;43.5838995360419
85;TIBAOUS;0312679U;0007;RUE ALBERT CAROVIS;8454055;31100;05 34 57 98 33;1569508.723;2262388.547;1.3850353486445;43.5503112680158
86;TRIOLET Elsa;0312107X;0004B;RUE EMILE PELLETIER;8371018;31100;05 61 40 97 12;1570314.6253;2264807.8142;1.39443463363675;43.5722219813892
87;VERGERS (Les);0312028L;0001B;IMP DES VERGERS;8361142;31100;05 61 44 97 50;1570661.1225;2265808.5006;1.39848724095755;43.5812869380709
88;VERNANT;0312769S;0001;RUE RENE GOSCINNY;9000118;31400;05 61 21 58 77;1575382.6477;2262290.1039;1.4577368946078;43.5504187804069
89;VIOLLET LE DUC;0312108Y;0023;RUE EUGENE VIOLLET LE DUC;8376619;31100;05 61 40 98 40;1570133.5836;2265825.6849;1.39195261590014;43.5813508847954
90;ZAY Jean;0312792Se;0005;RUE DES BOUQUETINS;8445740;31200;05 34 25 11 94;1574693.8925;2272390.6083;1.44690409250209;43.6412020822697
91;PONTS JUMEAUX;0312852Ge;0050;RUE DAYDE;2176044;31200;05 31 22 91 01;1572660.7985;2269535.2859;1.42237547923809;43.615165612546
92;NIBOUL;0312871Ce;0008;RUE ARRIA LY;9000173;31200;;1574957.4915;2272253.3201;1.45020189352695;43.6400104183038
93;GUILHERMY;0312870Be;0007;AV DU GENERAL DE MONSABERT;8392453;31100;;1568304.6138;2264882.4615;1.36953802137214;43.5725453218504
94;ALPHAND;031ALELEM;0005;IMP JEAN ALPHAND;0115256;31200;;1573667.2704;2273957.4428;1.43382064331613;43.6551306597698
