Index;Ecole;RNE;Num;Libelle;Codsti;Codpos;Tel;X_CC43;Y_CC43;X_WGS84;Y_WGS84
17;CHATEAU D'ANCELY;0311259A;0002;ALL DU VIVARAIS;7308818;31300;05 61 49 23 82;1570748.0674;2269896.5097;1.39859876530803;43.6180906007025
18;CHATEAU DE L'HERS;0310195U;0008;RUE CLAUDIUS ROUGENET;8425213;31500;05 61 20 37 08;1577716.958;2267831.1611;1.48538374480355;43.6006672519655
19;CHAUBET Jean;0310199Y;0004;PL VICTOR BASCH;0601644;31500;05 61 80 71 30;1576294.838;2267762.0963;1.4677886354445;43.5998136089279
20;COURREGE;0310196V;0165;AV ANTOINE DE ST EXUPERY;6188842;31400;05 61 20 88 84;1576923.0208;2265780.1632;1.47601286536061;43.5820803245685
21;CURIE Marie & Pierre;0310218U;0059;CHE LINIERES;4134451;31200;05 61 47 61 84;1574451.6029;2270114.65;1.44442402274652;43.6206799849116
22;CUVIER;0310226C;0002;RUE SERGE GAINSBOURG;8440853;31200;05 61 48 77 91;1575991.5756;2271897.6984;1.46309626244666;43.6369810969592
23;DASTE André;0310212M;0029;RUE DE TOULON;6896030;31400;05 61 52 00 16;1573945.1844;2265715.0492;1.43916349719692;43.5810022611085
24;DAURAT Didier;0311662N;0019;RUE JEAN GILLES;3198424;31100;05 61 40 35 28;1570972.7849;2264945.0492;1.40254868359924;43.5735699220041
25;DAURIAC Sylvain;0311123C;0043;RUE PAUL LAMBERT;3824054;31100;05 61 40 27 62;1571873.2887;2265448.7685;1.41357716606806;43.5782566160916
26;DE GOUGES Olympe;0312722Rm;0012;RUE VIRGINIA WOOLF;9000113;31200;05 61 47 87 14;1574144.4429;2273841.2526;1.43976165988033;43.6541649672304
27;DIEUZAIDE Jean;0310185H;0014;CHE DE LA GLACIERE;3225654;31200;05 61 47 95 70;1572488.5747;2272845.854;1.41947071740191;43.6449287104049
28;DOLTO Françoise;0311910H;0011;RUE DE DAKAR;8342135;31500;05 61 20 10 86;1577199.966;2266256.3998;1.47933462891792;43.5864113324426
29;DUPORTAL Armand;0310206F;0026;RUE RECLUSANE;5782400;31300;05 61 42 95 51;1573392.2663;2267720.3126;1.43185531464438;43.5989555318365
30;DUPOUY Gaston;0312318B;0010;RUE DU PR GASTON DUPOUY;8410654;31100;05 61 44 81 97;1569223.1447;2265803.1764;1.38068742506132;43.5809909277186
31;FABRE;0310197W;0004;RUE SAINT JEAN;6265615;31000;05 61 52 08 75;1574288.7479;2267491.4882;1.44300897322234;43.5970463556094
32;FALCUCCI Clément;0310193S;0009;IMP DU BACHAGA BOUALAM;8388311;31100;05 61 40 26 21;1571461.9309;2265633.5034;1.40844175726442;43.5798490679948
33;FALGUIERE;0310244X;0002B;RUE D ARTAGNAN;0297654;31000;05 61 21 15 09;1573286.5523;2268670.4499;1.4303264021505;43.607488275016
34;FAUCHER Daniel;0311616N;0012;CHEM ANDRE MESSAGER;4604801;31100;05 61 40 31 49;1571182.8164;2264852.1921;1.40517022410518;43.5727701910976
35;FERRY Jules;0310187K;0008;AV JULES FERRY;2774454;31200;05 61 47 72 60;1573503.8813;2271517.2547;1.43235997708085;43.6331437163322
36;FLEURANCE;0312682X;0010;PL RAYMOND GRIMAUD;8446852;31300;05 34 56 95 36;1568386.644;2268067.605;1.36978822168875;43.6012232829262
37;FONTAINE CASSELARDIT;0310207G;0006;PL JEAN BAPTISTE BAUDIN;0630425;31300;05 61 49 37 82;1571603.627;2268365.4949;1.4095554798434;43.6044590385555
38;NOUGARO;0310245Y;0051;AV DES MINIMES;4652854;31200;05 61 22 84 96;1573774.0722;2269974.1614;1.43606358388712;43.619302482288
39;FOURTANIER Alexandre;0310224A;0010;RUE DU REMPART ST ETIENNE;5824046;31000;05 61 21 14 22;1574929.3641;2267952.1148;1.45083630121779;43.6012982560063
40;FRANCE Anatole;0310211L;0006;AV DE LESPINET;4057617;31400;05 61 52 59 37;1575883.2471;2266230.987;1.46303872535673;43.5859669675485
41;GALLIA Jean;0311622V;0005;CHEM ROBERT CAMBERT;1328043;31100;05 61 40 38 09;1571014.2179;2264371.6533;1.40319644995173;43.5684168589368
42;GLOIRE (LA);0311743B;0004;IMP DE SOUPETARD;8343043;31500;05 61 80 64 42;1576339.1662;2268634.9823;1.46814044173555;43.6076762560609
43;GRAND SELVE;0310186J;0069;ALL DE GRAND SELVE;3308834;31200;05 61 47 85 54;1574976.4958;2273234.2427;1.45021312449346;43.6488410343222
44;GUILLAUMET Henri;0310198X;0030;CHE DE BITET;0899227;31400;05 61 20 03 60;1577933.8264;2265225.71;1.48864984080071;43.5772549240006
45;HAMEAU 47;0312123P;0031;RUE ALEX COUTET;8374905;31100;05 61 41 00 10;1569955.4686;2265282.7278;1.38987651773622;43.5764339812
46;HUGO Victor;0311613K;0006;IMP FRANCOIS FOULQUIER;2909605;31100;05 61 40 34 48;1571007.2886;2264022.5787;1.40319281796067;43.5652742472227
47;HYON Georges;0310194T;0003;IMP DU BACHAGA BOUALAM;8388311;31100;05 61 40 27 42;1571570.5548;2265556.8324;1.40980438465363;43.5791775987192
48;JACQUIER Maurice;0311395Y;0007;RUE DU POITOU;5462433;31100;05 61 40 28 18;1572231.0083;2265150.1884;1.41807489036917;43.5756303192648
49;JAURES Jean;0310188L;0005B;RUE D AURIOL;0387231;31400;05 61 52 65 44;1575003.0174;2266529.4838;1.45207303233353;43.5885077841684
50;JOLIMONT;0310228E;0016;AV HENRI GUILLAUMET;3372803;31500;05 61 48 82 46;1576388.2005;2269326.6187;1.46859155994532;43.6139085369687
51;JULIEN Jules;0310190N;0004;AV DES ECOLES JULES JULIEN;2518456;31400;05 61 52 62 37;1575130.381;2264969.5387;1.45400537190221;43.5744903983936
52;JUNCASSE (la);0310229F;0131;RUE LOUIS PLANA;5433652;31500;05 61 48 76 93;1576663.8003;2269695.7098;1.47192200751622;43.6172752570118
54;LAGRANGE Léo;0310200Z;0035;ALL HENRI SELLIER;6572839;31400;05 61 52 01 36;1573875.2082;2265293.6142;1.43839422628432;43.5771979237203
55;LAKANAL;0310230G;0006;RUE DU PRIEURE;5601624;31000;05 61 21 28 00;1574185.1108;2268019.844;1.4416042970039;43.6017838784229
56;LAMARTINE;0310210K;0007;RUE DES FEUILLANTS;2780800;31300;05 61 42 94 59;1573580.1981;2267410.5752;1.43425396377872;43.5961996732124
57;LAPUJADE;0311250R;0030;RTE D ALBI;0083241;31200;05 61 48 71 64;1575783.474;2270982.7557;1.4607254679059;43.6287130511489
58;LARDENNE;0310237P;0008;PL JACQUES SAUVEGRAIN;6531244;31100;05 61 49 27 46;1569041.592;2266720.3556;1.3782207385908;43.5892132783374
59;LESSEPS Ferdinand de;0312124R;0007;RUE FERDINAND DE LESSEPS;8384128;31100;05 61 41 13 14;1569481.0352;2265555.8699;1.38393880253432;43.5788100588742
60;LEYGUE Armand;0310213N;0009;CHE DU COIN DE LA MOURE;1840039;31500;05 61 80 85 44;1576014.0204;2267404.5062;1.46439215516212;43.5965493915203
61;LIMAYRAC-PUGENS Jérome;0312623H;0007;RUE XAVIER DARASSE;8444118;31500;05 61 20 07 91;1577213.6692;2266603.8483;1.47942641423644;43.5895403868022
62;LITTRE;0311551T;0215;CHE DE TOURNEFEUILLE;6915241;31300;05 61 49 38 31;1569073.9355;2268797.6056;1.37812460464118;43.6079123735469
63;MACE Jean;0310189M;0009;CHE DE DUROUX;2496011;31500;05 61 40 23 10;1577145.9827;2267207.2392;1.47845305298708;43.5949594933842
64;MAOURINE (la);0312674N;0011;AV M BOURGES MAUNOURY;8439231;31200;05 61 99 86 25;1574837.0201;2271117.8921;1.44896887913242;43.6297724966545
65;MARENGO PERIOLE;0310234L;0009;RUE DU MARECHAL GALLIENI;4374411;31500;05 61 48 76 86;1575751.7059;2269657.4107;1.4606327971633;43.6167807232013
66;MATABIAU;0310216S;0040;RUE MATABIAU;4492840;31000;05 61 62 59 18;1574704.0257;2269072.1421;1.44778952650577;43.6113402420687
67;MERLY;0310217T;0005;RUE MERLY;4595221;31000;05 61 21 61 47;1574287.5418;2268869.7378;1.4426776345972;43.6094493832478
68;MICHEL Louise;0311304Z;0022B;RUE JULES AMILHAU;0140813;31100;05 61 40 23 10;1571991.1442;2265863.7929;1.4149391237819;43.582011558556
69;MICHELET;0310231H;0004;BD JULES MICHELET;4624002;31000;05 61 62 86 47;1575274.0539;2268250.249;1.45503686803051;43.6040383805631
70;MICHOUN A;0312229E;0002;IMP GABRIEL LIPPMANN;4140858;31500;05 61 48 82 91;1576262.5925;2270724.07;1.46671981907602;43.6264639375659
71;MICHOUN B;0312573D;0004;RUE DE SAINT TROPEZ;6422456;31500;05 61 48 97 03;1576335.7397;2271092.4576;1.46754275396582;43.6297911540733
72;MOLIERE;0310239S;0032;RUE SAINTE LUCIE;6304027;31300;05 61 42 89 20;1573357.9166;2267092.2138;1.43157518784973;43.5932973345004
73;MONGE / REILLE;0312624J;0004B;RUE REILLE;5811242;31500;05 34 30 16 23;1575628.6571;2268908.7929;1.45927871560073;43.6100234130401
74;MONNET Jean;0310215R;0011;CHE DE L EGLISE DE LALANDE;2544003;31200;05 61 47 83 52;1573477.723;2273020.8512;1.43168805706136;43.6466703672362
75;MONTAUDRAN;0312295B;0002;IMP LUCIEN BOSSOUTROT;8356602;31400;05 61 20 23 09;1577549.5999;2264911.7509;1.48396375195984;43.5743671592328
76;MOULIN Jean;0311396Z;0001;RUE DE BIR HAKEIM;8419316;31400;05 61 52 31 67;1574126.9961;2265861.7559;1.44138051134637;43.5823529036076
77;MUSSET Alfred de;0310221X;0005;RUE DU GENERAL HOCHE;3161624;31200;05 61 47 61 21;1573304.7649;2270415.9279;1.4301479587276;43.6231992387608
78;NEGRENEYS;0310219V;0015;RUE DES ANGES;0169655;31200;05 61 47 76 50;1573973.3286;2270188.6407;1.43848240866764;43.6212659830939
79;OUSTALOUS (Les);0312006M;0065;RTE D ESPAGNE;2624010;31100;05 61 44 64 44;1572729.213;2265044.3043;1.42426636691146;43.5747617063285
80;PAPUS;0310240T;0048;ALL DE GUYENNE;3392004;31100;05 61 40 29 19;1571879.9296;2265149.3071;1.41372937535495;43.5755628055389
81;PASTEL (Le);0312595C;0002;CHE D ESCALLES;2604809;31400;05 62 88 02 55;1575033.277;2261730.2866;1.45354158481405;43.5453229198665
82;PATTE D'OIE;0310241U;0087;RUE DE CUGNAUX;2083233;31300;05 61 42 09 55;1572955.4222;2267192.4251;1.4265683353633;43.5941314222376
83;PECH DAVID;0311697B;0163;CHE DE LA SALADE PONSAN;6428802;31400;05 61 53 22 41;1574761.901;2264645.7859;1.4495182729994;43.5715157048051
84;PETIT GRAGNAGUE;0310220W;0009;RUE DES SPORTS;6697604;31200;05 61 57 00 45;1572102.4785;2269228.485;1.41553168645577;43.6123100856477
85;PINHOUS (Les);0311124D;0005;RUE DU RECTEUR DOTTIN;8346726;31100;05 61 40 29 50;1570602.2056;2263489.1423;1.39830537262167;43.5604042844352
86;POLYGONE;0311783V;0013;RUE VINCENT SCOTTO;8408124;31300;05 61 49 34 42;1572177.9861;2267586.6735;1.41685015229551;43.5975479030229
87;PORT GARAUD;0310201A;0001;RUE DU MOULIN DU CHATEAU;4816031;31000;05 61 52 57 70;1574260.7402;2267108.1479;1.44275016368012;43.593591893802
88;RANGUEIL;0310202B;0014;RUE CLAUDE DE FORBIN;2896046;31400;05 61 52 52 04;1575965.6392;2264988.9826;1.46433988455029;43.5748032641727
89;RENAN Ernest;0310227D;0003;CHE D AUDIBERT;0364857;31200;05 61 47 90 01;1574387.2526;2271894.0374;1.44321837969332;43.6366822849445
90;RICARDIE 1;0310203C;0013;AV MARCEL LANGER;3843204;31400;05 61 52 68 63;1574794.1269;2265860.2096;1.44963971552117;43.5824500925539
91;RONSARD;0311742A;0007;RUE VESTREPAIN;7209600;31100;05 34 61 23 67;1571372.5843;2266113.6033;1.40722303930972;43.5841543710756
92;SARRAT;0310235M;0016;PL DOMINIQUE MARTIN DUPUY;2483207;31000;05 61 62 63 01;1575253.1666;2267747.0764;1.45489281847546;43.5995067267697
93;SAUZELONG;0310204D;0030;RUE JEANNE MARVIG;4467222;31400;05 61 52 62 22;1575802.9074;2265472.9059;1.46221590366259;43.5791314849267
94;SEPT DENIERS;0310222Y;0108;RTE DE BLAGNAC;0912031;31200;05 61 57 02 61;1571591.6479;2269690.4332;1.40909636920865;43.6163803436977
95;SERMET;0310223Z;0071;RUE DU TAUR;6790415;31000;05 61 21 88 22;1574236.8989;2268618.8529;1.44210804385138;43.6071831577624
96;SOUPETARD ACACIAS;0310236N;0037;RUE DE LA SOLIDARITE;6649612;31500;05 61 80 70 18;1577089.3366;2268584.8091;1.47744246625503;43.6073474726993
97;TABAR;0311695Z;0006;RUE DE LA SARTHE;6508809;31100;05 61 40 89 50;1571866.3776;2264573.8196;1.41369615155227;43.5703815177922
98;TERRASSE (La);0311744C;0009;IMP EUGENE TRUTAT;8345410;31500;05 61 20 21 07;1577701.5363;2265924.8595;1.48561835885628;43.5835092150331
99;TIBAOUS;0312681W;0005;RUE ALBERT CAROVIS;8454055;31100;05 34 57 10 12;1569466.0069;2262362.5441;1.38451301064092;43.5500698678265
100;TOEC (Le);0310209J;0016;RUE RENE CRABOS;8347838;31300;05 61 49 68 69;1570923.4692;2267448.9233;1.40134842745202;43.5960944388599
101;TRIOLET Elsa;0312112C;0004B;RUE EMILE PELLETIER;8371018;31100;05 61 44 34 94;1570314.6253;2264807.8142;1.39443463363675;43.5722219813892
102;VERGERS (Les);0312032R;0001B;IMP DES VERGERS;8361142;31100;05 61 44 97 80;1570661.1225;2265808.5006;1.39848724095755;43.5812869380709
103;VERNANT;0312253F;0004;CHE DES CLOTASSES;1827235;31400;05 61 33 01 26;1575366.5204;2262188.3232;1.45756047295548;43.5495001442237
104;VIOLLET LE DUC;0312100P;0023;RUE EUGENE VIOLLET LE DUC;8376619;31100;05 61 40 97 97;1570133.5836;2265825.6849;1.39195261590014;43.5813508847954
105;ZAY Jean;0312792Sm;0007;RUE DES BOUQUETINS;8445740;31200;05 34 25 73 43;1574742.6594;2272389.8663;1.44750856200544;43.6412035175571
106;PONTS JUMEAUX;0312852Gm;0018;RUE CECILE BRUNSCHVICG;9000146;31200;05 31 22 91 01;1572594.0885;2269491.0627;1.42155948646436;43.6147563618662
107;NIBOUL;0312871Cm;0008;RUE ARRIA LY;9000173;31200;;1574957.4915;2272253.3201;1.45020189352695;43.6400104183038
108;GUILHERMY;0312870Bm;0007;AV DU GENERAL DE MONTSABERT;9392453;31100;;1568304.6138;2264882.4615;1.36953802137214;43.5725453218504
109;ALPHAND;031ALMATE;0005;IMP JEAN ALPHAND;0115256;31200;;1573667.2704;2273957.4428;1.43382064331613;43.6551306597698
